id,name,country,country_code,abbreviation,gender,pro_year,handedness,highest_singles_ranking,highest_doubles_ranking,weight,height,date_of_birth,highest_singles_ranking_date,highest_doubles_ranking_date,Clothing,Shoes,Racket,Sleeve/Shirt/Cap
sr:competitor:43748,"Thiem, Dominic",Austria,AUT,THI,male,2011.0,right,3.0,67.0,79.0,185.0,1993-09-03,3.202,10.2019,Adidas,Adidas,Babolat,Red Bull | Bolah
sr:competitor:72248,"Varillas, Juan Pablo",Peru,PER,VAR,male,,right,60.0,289.0,78.0,185.0,1995-10-06,6.2023,5.2021,,,,
sr:competitor:339377,"Lehecka, Jiri",Czechia,CZE,LEH,male,,right,23.0,144.0,,,2001-11-08,1.2024,1.2024,,,,
sr:competitor:122368,"Griekspoor, Tallon",Netherlands,NLD,GRI,male,,right,21.0,61.0,82.0,188.0,1996-07-02,11.2023,6.2024,,,,
sr:competitor:41857,"Vesely, Jiri",Czechia,CZE,VES,male,2009.0,left,35.0,94.0,94.0,198.0,1993-07-10,4.2015,6.2015,,,,
sr:competitor:445419,"Cazaux, Arthur",France,FRA,CAZ,male,,right,64.0,430.0,,,2002-08-23,11.2024,11.2021,Lacoste,Lacoste ? Asics,Babolat,
sr:competitor:119248,"Ruud, Casper",Norway,NOR,RUU,male,2015.0,right,2.0,133.0,77.0,183.0,1998-12-22,9.2022,7.2021,,,,
sr:competitor:47770,"Fucsovics, Marton",Hungary,HUN,FUC,male,2010.0,right,31.0,189.0,82.0,188.0,1992-02-08,3.2019,4.2019,,,,
sr:competitor:352776,"Draper, Jack",Great Britain,GBR,DRA,male,,left,15.0,247.0,75.0,188.0,2001-12-22,10.2024,10.2024,Nike,Nike,Dunlop,
sr:competitor:59281,"Nishioka, Yoshihito",Japan,JPN,NIS,male,2014.0,left,24.0,210.0,64.0,170.0,1995-09-27,6.2023,7.2019,,,,
sr:competitor:721347,"Shang, Juncheng",China,CHN,SHA,male,,left,47.0,,,,2005-02-02,10.2024,,Nike,Nike,Babolat,
sr:competitor:67154,"Barrere, Gregoire",France,FRA,BAR,male,2012.0,right,49.0,161.0,83.0,183.0,1994-02-16,7.2023,4.2021,,,,
sr:competitor:71280,"Kokkinakis, Thanasi",Australia,AUS,KOK,male,2013.0,right,65.0,15.0,84.0,193.0,1996-04-10,11.2023,11.2022,Cotton On,Adidas*,Yonex ? Babolat*,ATL | HubSpot
sr:competitor:129368,"Koepfer, Dominik",Germany,DEU,KOE,male,2016.0,left,49.0,69.0,82.0,180.0,1994-04-29,3.2024,6.2024,Bidi Badu,Asics,Head,Newkee
sr:competitor:104847,"Sonego, Lorenzo",Italy,ITA,SON,male,2013.0,right,21.0,60.0,76.0,191.0,1995-05-11,10.2021,9.2022,,,,
sr:competitor:407573,"Alcaraz, Carlos",Spain,ESP,ALC,male,2018.0,right,1.0,,74.0,183.0,2003-05-05,9.2022,,Nike,Nike,Babolat,
sr:competitor:299310,"Sonmez, Zeynep",Turkiye,TUR,SON,female,,,90.0,,,,2002-04-30,11.2024,,,,,
sr:competitor:45902,"Sasnovich, Aliaksandra",Neutral,,SAS,female,2013.0,right,29.0,39.0,60.0,174.0,1994-03-22,9.2022,8.2021,K-Swiss,K-Swiss,Head,AMD | The Economist
sr:competitor:150130,"Gao, Xinyu",China,CHN,GAO,female,,right,164.0,230.0,,180.0,1997-11-21,7.2024,9.2017,,,,
sr:competitor:147506,"Fourlis, Jaimee",Australia,AUS,FOU,female,2015.0,right,147.0,138.0,61.0,168.0,1999-09-17,7.2022,3.202,,,,
sr:competitor:41372,"Davis, Lauren",USA,USA,DAV,female,2011.0,right,26.0,137.0,55.0,157.0,1993-10-09,5.2017,1.2018,K-Swiss,K-Swiss,Head,Glossier | alterDomus
sr:competitor:255031,"Niemeier, Jule",Germany,DEU,NIE,female,2016.0,right,61.0,418.0,,,1999-08-12,11.2022,8.2023,Adidas,Adidas,Head,
sr:competitor:676251,"Wurth, Tara",Croatia,HRV,WUR,female,,right,145.0,253.0,,,2002-09-30,4.2023,11.2024,,,,
sr:competitor:627278,"Eala, Alexandra",Philippines,PHL,EAL,female,,left,143.0,192.0,,,2005-05-23,7.2024,8.2024,,,,
sr:competitor:50643,"Lukas, Tena",Croatia,HRV,LUK,female,2011.0,right,200.0,257.0,,,1995-05-10,9.2022,7.2022,,,,
sr:competitor:337813,"Riera, Julia",Argentina,ARG,RIE,female,,right,93.0,176.0,,,2002-05-29,5.2024,8.2024,Fila,Fila,Head,
sr:competitor:179300,"Liu, Claire",USA,USA,LIU,female,2015.0,right,52.0,257.0,,170.0,2000-05-25,1.2023,1.2023,Asics,Asics,Head,
sr:competitor:256447,"Monnet, Carole",France,FRA,MON,female,,left,162.0,129.0,,,2001-12-01,9.2023,10.2024,,,,
sr:competitor:433758,"Wei, Sijia",China,CHN,WEI,female,,right,131.0,257.0,,,2003-12-05,11.2024,7.2023,,,,
sr:competitor:315609,"Kraus, Sinja",Austria,AUT,KRA,female,,right,151.0,303.0,,,2002-04-29,5.2023,12.2023,,,,
sr:competitor:534045,"Gibson, Talia",Australia,AUS,GIB,female,,right,125.0,159.0,,,2004-06-18,11.2024,8.2023,,,,
sr:competitor:67322,"Tan, Harmony",France,FRA,TAN,female,2012.0,right,90.0,302.0,,,1997-09-11,4.2022,9.202,,,,
sr:competitor:1014317,"Mpetshi Perricard, Daphnee",France,FRA,MPE,female,,,,,,,2008-11-21,,,,,,
sr:competitor:71034,"Sramkova, Rebecca",Slovakia,SVK,SRA,female,2013.0,right,43.0,364.0,68.0,179.0,1996-10-19,11.2024,5.2021,,,,
sr:competitor:505970,"Janicijevic, Selena",France,FRA,JAN,female,,right,153.0,,,,2002-07-23,9.2024,,,,,
sr:competitor:43102,"Babos, Timea",Hungary,HUN,BAB,female,2011.0,right,25.0,1.0,68.0,179.0,1993-05-10,9.2016,7.2018,Yonex,Yonex,Yonex,
sr:competitor:319455,"Baptiste, Hailey",USA,USA,BAP,female,,right,80.0,92.0,,,2001-11-03,10.2024,7.2024,,,,
sr:competitor:526975,"Fruhvirtova, Linda",Czechia,CZE,FRU,female,,right,49.0,187.0,,,2005-05-01,6.2023,10.2023,Nike,Nike,Wilson,
sr:competitor:762762,"Seidel, Ella",Germany,DEU,SEI,female,,right,117.0,190.0,,,2005-02-14,10.2024,9.2024,,,,
sr:competitor:157150,"Boskovic, Lea",Croatia,HRV,BOS,female,,right,158.0,215.0,,,1999-09-22,9.2024,2.2023,,,,
sr:competitor:870983,"Saito, Sara",Japan,JPN,SAI,female,,right,156.0,484.0,,,2006-10-03,7.2024,3.2024,,,,
sr:competitor:432605,"Makarova, Ekaterina",Neutral,,MAK,female,,right,158.0,,,,1996-02-15,1.2024,,,,,
sr:competitor:662615,"Salkova, Dominika",Czechia,CZE,SAL,female,,right,129.0,147.0,,,2004-06-28,7.2024,8.2023,,,,
